ID,Title,Type,Authors,Institutions
,"Inhibition of β-lactamases OXA-143 by hydrolyzed meropenem",,"Yara Rocha;, Victor U. Antunes;, Yan  Ladeira;, Adolfo Henrique de Moraes Silva;, Renan Pirolla;, Fábio Gozzo;, Anthony  Mittermaier;, Denize  C. Favaro;","Universidade Estadual de Campinas, Universidade Estadual de Campinas, Universidade Federal de Minas Gerais, Universidade Federal de Minas Gerais, Universidade Estadual de Campinas, Universidade Estadual de Campinas, Department of Chemistry / McGill University / McGill University, Universidade Estadual de Campinas"
,"Evaluation of intramolecular hydrogen bonding on fluorinated pyridines   ",,"Cassia  Chiari;, Cláudio Francisco Tormena;","Universidade Estadual de Campinas, Universidade Estadual de Campinas"
,"IMPLEMENTATION OF MCMC METHODOLOGY TO INVESTIGATE 1H CHEMICAL EXCHANGE IN AQUEOUS CARBOHYDRATE SOLUTIONS",,"Flávio Bueno dos Santos;, Marcus Cardoso;, Jose Rivera;","Universidade Federal de Ouro Preto, Universidade Federal de Ouro Preto, Universidade de São Paulo"
,"DIRECT qNMR MEASUREMENTS",,"Priscila  Rubim;, Mychelle Monteiro;, Filipe Soares Quirino da Silva;, Tanos Celmar Costa França;, Joyce Sobreiro Francisco Diz de Almeida;, Jochen  Junker;","Instituto Militar de Engenharia, INCQS / Fundação Oswaldo Cruz, INCQS/Fiocruz, Instituto Militar de Engenharia, Instituto Militar de Engenharia, CDTS / Presidência / Fundação Oswaldo Cruz"
,"SPIN-SPIN COUPLING CONSTANT AS TOOLS FOR INTRAMOLECULAR INTERACTIONS EVALUATION IN FLUORINE-CONTAINING COMPOUNDS",,"Laiza  Bruzadelle Loureiro;, Cláudio Francisco Tormena;","Universidade Estadual de Campinas, Universidade Estadual de Campinas"
,"qNMR APPROACH FOR MONITORING CHANGES IN CARANHA FISH POLAR AND NON-POLAR METABOLIC PROFILES DUE TO FREEZE-THAW CYCLES",,"Vinícius  Silva Pinto;, Christian Dias Gomides;, Igor Flores;, Luciano Morais Lião;","Federal Institute Goiano, Institute of Chemistry, Federal University of Goias, Federal Institute of Goiás, Institute of Chemistry, Federal University of Goias"
,"BENZNIDAZOLE AND BENZNIDAZOLE BASED-MEDICINES STUDIES BY NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY",,"José Dias de Souza Filho;, Jacqueline Souza;, Marta de Lana;, Gabriela Roberta Ramos Fernandes;","Universidade Federal de Ouro Preto, Universidade Federal de Ouro Preto, Universidade Federal de Ouro Preto, Universidade Federal de Ouro Preto"
,"STRUCTURAL DETERMINATION OF NS2B PROTEIN OF ZIKA VIRUS AND INTERACTION STUDIES WITH NS3 VIRAL PROTEASE",,"Beatriz Rosa  Penna;, Thamires Moreira;, Danielle Maria  Perpétua de Oliveira Santos;, Cristiane Dinis Ano Bom;, Ana Paula Valente;","Instituto de Bioquímica Médica, Centro Nacional de Ressonância Magnética Nuclear Jiri Jonas, Universidade Federal do Rio de Janeiro, Departamento de Bioquímica, Instituto de Química, Universidade Federal do Rio de Janeiro, Departamento de Bioquímica, Instituto de Química, Universidade Federal do Rio de Janeiro, Departamento de Bioquímica, Instituto de Química, Universidade Federal do Rio de Janeiro, Instituto de Bioquímica Médica, Centro Nacional de Ressonância Magnética Nuclear Jiri Jonas, Universidade Federal do Rio de Janeiro"
,"NMR STUDY OF SUGAR INTERACTION TO THE N-TERMINAL DOMAIN OF SPIKE PROTEIN FROM SARS-COV-1",,"Julie Lopes;, Beatriz Rosa  Penna;, Ana Paula Valente;, Leonardo  Bartkevihi;, Paulo Antônio de Souza Mourão;, Francisco  Felipe  Bezerra;, Adriane Regina Todeschini;","Universidade Federal do Rio de Janeiro, Instituto de Bioquímica Médica, Centro Nacional de Ressonância Magnética Nuclear Jiri Jonas, Universidade Federal do Rio de Janeiro, Universidade Federal do Rio de Janeiro, Universidade Federal do Rio de Janeiro, Laboratório de Tecido Conjuntivo / Instituto de Bioquímica Médica / Universidade Federal de Juiz de Fora, Departamento de Glicobiologia  / Bioquímica Médica / Universidade Federal do Rio de Janeiro, Universidade Federal do Rio de Janeiro"
,"NEW AND RAPID D-T1 CORRELATION MEASUREMENTS AND DIRECT NMR T1 DISTRIBUTION MEASUREMENT METHOD",,"Elton Tadeu Montrazi;, Tatiana Monaretto;, Luiz Alberto Colnago;, Tito José Bonagamba;","Department of Chemical and Biological Physics, Weizmann Institute of Science, Israel, Centre National de La Recherche Scientifique, France, Embrapa Instrumentation, Brazil, São Carlos Institute of Physics, University of São Paulo, Brazil"
,"UNI AND BI-DIMENSIONAL CONTINUOUS WAVE FREE PRECESSION (CWFP) METHODS: A GENERAL APPROACH AND APPLICATION",,"Tatiana Monaretto;","Centre national de la recherche scientifique (CNRS)"
,"NMR METABOLOMICS OFF THE BEATEN TRACKS",,"Patrick Giraudeau;","CEISAM / Faculté des Sciences et Techniques / Université de Nantes"
